Longitude,Latitude,Pixel,Scan
21.1307374,-6.08212332,0,0
21.0946253,-6.08193039,100,0
21.0585274,-6.08174852,200,0
21.0224433,-6.0815777,300,0
20.9863726,-6.08141791,400,0
20.9503148,-6.08126914,500,0
20.9142696,-6.08113137,600,0
20.8782365,-6.08100459,700,0
20.8422151,-6.08088879,800,0
20.8062049,-6.08078396,900,0
20.7702057,-6.08069009,1000,0
20.7342168,-6.08060716,1100,0
20.698238,-6.08053517,1200,0
20.6622689,-6.0804741,1300,0
20.6263089,-6.08042395,1400,0
20.5903578,-6.08038471,1500,0
20.554415,-6.08035637,1600,0
20.5184802,-6.08033891,1700,0
20.4825529,-6.08033235,1800,0
20.4466329,-6.08033665,1900,0
20.4107195,-6.08035184,2000,0
20.3748125,-6.08037788,2100,0
20.3389114,-6.08041479,2200,0
20.3030159,-6.08046255,2300,0
20.2671254,-6.08052116,2400,0
20.2312397,-6.08059062,2500,0
20.1953582,-6.08067093,2600,0
20.1594807,-6.08076207,2700,0
20.1236066,-6.08086405,2800,0
20.0877356,-6.08097688,2900,0
20.0518673,-6.08110053,3000,0
20.0160013,-6.08123502,3100,0
19.9801371,-6.08138035,3200,0
19.9442743,-6.08153651,3300,0
19.9084126,-6.08170351,3400,0
19.8725516,-6.08188134,3500,0
19.8366908,-6.08207001,3600,0
19.8008298,-6.08226952,3700,0
19.7649683,-6.08247987,3800,0
19.7291057,-6.08270107,3900,0
19.6936005,-6.08293074,3999,0
21.1305162,-6.06677655,0,100
21.0944043,-6.06658372,100,100
21.0583067,-6.06640196,200,100
21.0222229,-6.06623125,300,100
20.9861524,-6.06607159,400,100
20.9500949,-6.06592294,500,100
20.9140499,-6.06578531,600,100
20.878017,-6.06565867,700,100
20.8419958,-6.06554302,800,100
20.8059859,-6.06543834,900,100
20.7699869,-6.06534463,1000,100
20.7339983,-6.06526187,1100,100
20.6980197,-6.06519005,1200,100
20.6620507,-6.06512916,1300,100
20.626091,-6.0650792,1400,100
20.59014,-6.06504014,1500,100
20.5541974,-6.065012,1600,100
20.5182628,-6.06499475,1700,100
20.4823358,-6.06498839,1800,100
20.4464159,-6.06499292,1900,100
20.4105027,-6.06500833,2000,100
20.3745959,-6.0650346,2100,100
20.338695,-6.06507175,2200,100
20.3027996,-6.06511975,2300,100
20.2669093,-6.06517862,2400,100
20.2310238,-6.06524833,2500,100
20.1951425,-6.0653289,2600,100
20.1592651,-6.06542032,2700,100
20.1233911,-6.06552258,2800,100
20.0875203,-6.06563568,2900,100
20.0516521,-6.06575963,3000,100
20.0157862,-6.06589441,3100,100
19.9799221,-6.06604004,3200,100
19.9440595,-6.06619651,3300,100
19.908198,-6.06636382,3400,100
19.872337,-6.06654198,3500,100
19.8364763,-6.06673097,3600,100
19.8006155,-6.06693082,3700,100
19.764754,-6.06714151,3800,100
19.7288916,-6.06736306,3900,100
19.6933864,-6.06759308,3999,100
21.1302975,-6.05144627,0,200
21.0941859,-6.05125358,100,200
21.0580885,-6.05107196,200,200
21.0220049,-6.0509014,300,200
20.9859346,-6.05074188,400,200
20.9498773,-6.0505934,500,200
20.9138325,-6.05045593,600,200
20.8777998,-6.05032947,700,200
20.8417788,-6.050214,800,200
20.8057691,-6.05010951,900,200
20.7697702,-6.05001599,1000,200
20.7337818,-6.04993342,1100,200
20.6978034,-6.04986181,1200,200
20.6618346,-6.04980114,1300,200
20.625875,-6.04975139,1400,200
20.5899242,-6.04971256,1500,200
20.5539817,-6.04968465,1600,200
20.5180473,-6.04966764,1700,200
20.4821204,-6.04966153,1800,200
20.4462006,-6.04966631,1900,200
20.4102876,-6.04968197,2000,200
20.3743809,-6.04970852,2100,200
20.3384801,-6.04974593,2200,200
20.3025848,-6.04979421,2300,200
20.2666947,-6.04985336,2400,200
20.2308092,-6.04992337,2500,200
20.194928,-6.05000424,2600,200
20.1590507,-6.05009596,2700,200
20.1231769,-6.05019853,2800,200
20.0873062,-6.05031195,2900,200
20.0514381,-6.05043622,3000,200
20.0155722,-6.05057134,3100,200
19.9797083,-6.0507173,3200,200
19.9438457,-6.05087412,3300,200
19.9079842,-6.05104178,3400,200
19.8721234,-6.05122029,3500,200
19.8362628,-6.05140965,3600,200
19.800402,-6.05160987,3700,200
19.7645406,-6.05182094,3800,200
19.7286782,-6.05204287,3900,200
19.6931731,-6.05227328,3999,200
21.1300918,-6.03610838,0,300
21.0939804,-6.03591578,100,300
21.0578832,-6.03573427,200,300
21.0217998,-6.03556382,300,300
20.9857297,-6.03540443,400,300
20.9496726,-6.03525607,500,300
20.913628,-6.03511874,600,300
20.8775955,-6.03499241,700,300
20.8415747,-6.03487709,800,300
20.8055651,-6.03477275,900,300
20.7695664,-6.03467939,1000,300
20.7335782,-6.03459699,1100,300
20.6976,-6.03452555,1200,300
