Longitude,Latitude,Pixel,Scan
21.0396066,-0.0140036643,0,0
21.0050169,-0.0146944303,100,0
20.970439,-0.0153745958,200,0
20.9358727,-0.0160441787,300,0
20.9013175,-0.0167031963,400,0
20.8667732,-0.0173516652,500,0
20.8322393,-0.0179896021,600,0
20.7977154,-0.0186170227,700,0
20.7632012,-0.0192339425,800,0
20.7286964,-0.0198403765,900,0
20.6942005,-0.0204363394,1000,0
20.6597133,-0.0210218452,1100,0
20.6252342,-0.0215969076,1200,0
20.590763,-0.0221615398,1300,0
20.5562994,-0.0227157547,1400,0
20.5218429,-0.0232595645,1500,0
20.4873931,-0.0237929812,1600,0
20.4529498,-0.0243160161,1700,0
20.4185126,-0.0248286805,1800,0
20.384081,-0.0253309847,1900,0
20.3496548,-0.025822939,2000,0
20.3152336,-0.0263045532,2100,0
20.2808169,-0.0267758364,2200,0
20.2464046,-0.0272367975,2300,0
20.2119961,-0.027687445,2400,0
20.1775912,-0.0281277869,2500,0
20.1431895,-0.0285578306,2600,0
20.1087906,-0.0289775834,2700,0
20.0743942,-0.0293870519,2800,0
20.0399998,-0.0297862423,2900,0
20.0056073,-0.0301751607,3000,0
19.9712161,-0.0305538122,3100,0
19.9368259,-0.0309222021,3200,0
19.9024365,-0.0312803347,3300,0
19.8680473,-0.0316282143,3400,0
19.8336581,-0.0319658445,3500,0
19.7992686,-0.0322932287,3600,0
19.7648782,-0.0326103697,3700,0
19.7304868,-0.03291727,3800,0
19.6960939,-0.0332139315,3900,0
19.6620431,-0.0334975423,3999,0
21.0393993,0.00148104156,0,100
21.0048088,0.000790524631,100,100
20.9702301,0.000110602865,200,100
20.935663,-0.000558741478,300,100
20.901107,-0.00121752568,400,100
20.8665619,-0.00186576656,500,100
20.8320271,-0.00250348049,600,100
20.7975025,-0.00313068338,700,100
20.7629875,-0.00374739069,800,100
20.7284818,-0.00435361741,900,100
20.6939851,-0.00494937812,1000,100
20.659497,-0.00553468692,1100,100
20.6250171,-0.00610955747,1200,100
